City,Lat,Long,Population
Drenasi,42.6211,20.8905,48079
Prishtina,42.6629,21.1655,227466
Mitrovica,42.8914,20.866,64742
Peja,42.6593,20.2887,82745
Gjakova,42.3844,20.4285,78699
Prizreni,42.2171,20.7436,147246
Ferizaj,42.3702,21.1483,109255
Gjilani,42.4635,21.4694,82980
Lipjani,42.5258,21.1225,55044
Kastrioti,42.6869,21.067,22815
Besiana,42.9108,21.1956,70975
Fushe Kosova,42.6374,21.0931,63949
Gracanica,42.6014,21.1919,18486
Artana,42.6088,21.4406,4493
Decani,42.5403,20.2883,27775
Juniku,42.4762,20.2775,3943
Sharri,42.0615,20.6512,28896
Burimi,42.782,20.4911,33008
Dardana,42.5876,21.5737,22868
Malisheva,42.4838,20.7431,43888
Skenderaj,42.7476,20.7892,40664
Rahoveci,42.3998,20.6528,41799
Theranda,42.3625,20.8319,45749
Hani i Elezit,42.1489,21.2979,8533
Kacaniku,42.2279,21.2569,27716
Klina,42.6193,20.5782,30503
Kllokoti,42.369,21.371,3041
Leposaviqi,43.1016,20.8011,18600
Mamusha,42.3273,20.7227,5607
Mitrovica e Veriut,42.8947,20.8656,27730
Ranillugu,42.4922,21.5985,2481
Shterpca,42.2406,21.0259,10771
Shtime,42.4329,21.0401,24308
Vitia,42.3222,21.359,35566
Vushtrria,42.8267,20.9704,61528
Zubin Potoku,42.9148,20.6897,15200
Zvecani,42.9108,20.8386,16650
Parteshi,42.4008,21.4332,3240
